skill,freq
дизайн,3
операционная отчетность,3
клиентская аналитика,3
protobuf,3
продуктовые метрики,3
data engineer,3
факторинг,3
etom/tam/sid/open apis,3
iso osi,3
vpn-сети,3
tm forum,3
лидерские качества,3
exсel,3
описание cjm,3
анализ посещаемости сайтов,3
swift,3
jupyter,3
еспд,3
olap,3
автоматизация отчетности,3
бизнес требования,3
участие в профессиональных выставках,3
gamedev,3
кадровое делопроизводство,3
greenplum,3
gis data,3
geography,3
surveying,3
edi,3
консультант управление торговлей,3
1c ут 11,3
консультант 1с ут,3
1с ут,3
1с crm,3
1c срм,3
аналитик crm,3
внедрение 1с,3
интегратор 1с:crm,3
1с специалист,3
специалист-консультант,3
специалист 1с,3
a/b testing,3
веб-сервисы,3
наставничество,3
1с8,3
1сух,3
письменный перевод,3
proxy,3
airflow,3
разработка методологии,3
численные методы,3
proxy product owner,3
computer science,2
algorithms,2
собеседование,2
ajax,2
интранет,2
archimate,2
управление знаниями,2
проведение инвентаризаций,2
compass 3d,2
cjm,2
gui,2
consultant plus,2
cfa,2
планировани,2
data quality,2
custdev,2
маркетолог,2
написание инструкций,2
аналитическая отчетность,2
знание 1с,2
gap анализ,2
обеспечение жизнедеятельности офиса,2
microsoft bi,2
business studio,2
врм,2
техническая грамотность,2
тмц,2
а/б тестирование,2
sas base,2
высоконагруженные системы,2
cpc,2
описание api,2
restapi,2
нормативно-техническая документация,2
sap cm,2
it support,2
менеджер по продажам,2
project manager,2
стажер,2
oracle database,2
грамотная устная и письменная речь,2
аналитика соцмедиа,2
process mining,2
знание бухгалтерского учета,2
знание финансов,2
знание экономики,2
pdm,2
корректура текстов,2
infinario,2
amplitud,2
dev2dev,2
обязательная отчетность,2
jtbd,2
datastage,2
"dlp (devicelock, search inform, spector360)",2
трудовой кодекс рф,2
